Sp_Pollinisateur;Classe_Poll
Aglais_io;Papillons
Andrena_dorsata;Abeilles solitaires
Andrena_flavipes;Abeilles solitaires
Andrena_fulvago;Abeilles solitaires
Andrena_humilis;Abeilles solitaires
Andrena_minutula.gr.;Abeilles solitaires
Andrena_proxima;Abeilles solitaires
Andrena_rosae;Abeilles solitaires
Andrena_spec.;Abeilles solitaires
Anthophila_indet.;Abeilles solitaires
Apis_mellifera;Abeille domestique
Aricia_agestis;Papillons
Bombus_lapidarius;Bourdons
Bombus_lucorum;Bourdons
Bombus_pascuorum;Bourdons
Bombus_pratorum;Bourdons
Bombus_spec.;Bourdons
Bombus_terrestris.lucorum.magnus.cryptarum;Bourdons
Bombus_vestalis;Bourdons
Bombus_vestalis.bohemicus;Bourdons
Carcharodus_alceae;Papillons
Ceratina_cyanea;Abeilles solitaires
Cerceris_arenaria;Autres
Cerceris_rybyensis;Autres
Cerceris_spec.;Autres
Cheilosia_pagana;Syrphes
Cheilosia_spec.;Syrphes
Cheilosia_variabilis;Syrphes
Chelostoma_rapunculi;Abeilles solitaires
Colletes.daviesanus.fodiens.similis;Abeilles solitaires
Dasypoda_hirtipes;Abeilles solitaires
Dasysyrphus_albostriatus;Syrphes
Episyrphus_balteatus;Syrphes
Eristalis_arbustorum;Syrphes
Eristalis_arbustorum.abusiva;Syrphes
Eristalis_intricaria;Syrphes
Eristalis_nemorum;Syrphes
Eristalis_pertinax;Syrphes
Eristalis_spec.;Syrphes
Eristalis_tenax;Syrphes
Euclidia_glyphica;Papillons
Eupeodes_corollae;Syrphes
Eupeodes_latifasciatus;Syrphes
Eupeodes_luniger;Syrphes
Halictidae_indet.;Abeilles solitaires
Halictus_scabiosae;Abeilles solitaires
Helophilus_pendulus;Syrphes
Helophilus_trivittatus;Syrphes
Heriades_truncorum;Syrphes
Hylaeus_communis;Abeilles solitaires
Hylaeus_gredleri;Abeilles solitaires
Hylaeus_spec.;Abeilles solitaires
Lasioglossum_.Dialictus._spec.;Abeilles solitaires
Lasioglossum_.Leuchalictus._spec.;Abeilles solitaires
Lasioglossum_.Sphecodogastra._spec.;Abeilles solitaires
Lasioglossum_leucozonium;Abeilles solitaires
Lasioglossum_sexnotatum;Abeilles solitaires
Lasioglossum_spec.;Abeilles solitaires
Lycaena_phlaeas;Papillons
Macroglossum_stellatarum;Papillons
Maniola_jurtina;Papillons
Megachile_centuncularis;Abeilles solitaires
Megachile_spec.;Abeilles solitaires
Megachile_willughbiella;Abeilles solitaires
Melanostoma_mellinum;Syrphes
Melanostoma_mellinum_Platycheirus_albimanus;Syrphes
Melanostoma_spec.;Syrphes
Mesembrina_meridiana;Autres
Myathropa_florea;Syrphes
Neoascia_spec.;Syrphes
Nowickia_ferox;Autres
Osmia_leaiana.niveata;Abeilles solitaires
Osmia_spinulosa;Abeilles solitaires
Panurgus_calcaratus;Abeilles solitaires
Paragus_haemorrhous;Syrphes
Pieris_brassicae;Papillons
Pieris_napi;Papillons
Pieris_rapae;Papillons
Pieris_spec.;Papillons
Pipizella_spec.;Syrphes
Pipizella_viduata;Syrphes
Platycheirus_albimanus;Syrphes
Polygonia_c.album;Papillons
Polyommatus_icarus;Papillons
Pyronia_tithonus;Papillons
Rhopalocera_indet.;Papillons
Scaeva_pyrastri;Syrphes
Scaeva_selenitica;Syrphes
Scaeva_spec.;Syrphes
Sphaerophoria_scripta;Syrphes
Sphaerophoria_spec.;Syrphes
Sphecodes_spec.;Abeilles solitaires
Stelis_punctulatissima;Abeilles solitaires
Stomorhina_lunata;Autres
Syritta_pipiens;Syrphes
Syrphidae_indet.;Syrphes
Syrphus_ribesii;Syrphes
Syrphus_spec.;Syrphes
Volucella_zonaria;Syrphes
