Site;Date;Ordre;Jour_af_tonte;Bellis_perennis;Hypochaeris_radicata;Plantago_lanceolata;Prunella_vulgaris;Ranunculus_repens;Trifolium_dubium;Trifolium_repens
Curie;13-juil;1;1;0;0;0;0;0;0;1
Carnoy_serre;13-juil;2;1;0;0;0;0;0;0;0
Carnoy_parking;13-juil;3;1;1;0;0;1;0;0;8
Curie;14-juil;4;2;0;0;0;0;0;0;1
Carnoy_serre;14-juil;5;2;0;0;0;0;0;0;0
Carnoy_parking;14-juil;6;2;1;0;0;1;0;0;8
Curie;15-juil;7;3;0;0;0;0;0;0;1
Carnoy_serre;15-juil;8;3;0;0;0;2;0;0;0
Carnoy_parking;15-juil;9;3;1;0;0;1;0;0;12
Curie;16-juil;10;4;0;0;0;0;0;0;3
Carnoy_serre;16-juil;11;4;2;0;0;2;0;0;0
Carnoy_parking;16-juil;12;4;3;0;0;3;0;0;20
Curie;17-juil;13;5;1;0;0;0;0;0;4
Carnoy_serre;17-juil;14;5;2;0;0;2;0;0;2
Carnoy_parking;17-juil;15;5;4;0;0;5;0;0;30
Curie;18-juil;16;6;1;0;0;0;0;0;6
Carnoy_serre;18-juil;17;6;2;0;0;2;0;0;3
Carnoy_parking;18-juil;18;6;6;0;0;5;0;0;41
Curie;19-juil;19;7;1;0;0;0;0;0;8
Carnoy_serre;19-juil;20;7;2;0;0;3;0;0;10
Carnoy_parking;19-juil;21;7;5;0;0;6;0;0;47
Curie;21-juil;22;9;1;0;3;0;0;0;9
Carnoy_serre;21-juil;23;9;1;0;0;5;0;0;25
Carnoy_parking;21-juil;24;9;5;0;0;3;0;0;59
Curie;22-juil;25;10;0;0;4;0;1;1;10
Carnoy_serre;22-juil;26;10;3;0;0;5;0;0;50
Carnoy_parking;22-juil;27;10;8;0;0;1;0;0;135
Curie;23-juil;28;11;0;0;4;0;1;2;10
Carnoy_serre;23-juil;29;11;3;0;0;5;0;0;55
Carnoy_parking;23-juil;30;11;8;0;0;1;0;0;140
Curie;24-juil;31;12;0;0;5;0;1;2;7
Carnoy_serre;24-juil;32;12;3;0;0;2;0;0;72
Carnoy_parking;24-juil;33;12;3;0;0;0;0;0;150
Curie;25-juil;34;13;0;0;5;0;1;2;5
Carnoy_serre;25-juil;35;13;3;0;0;2;0;0;74
Carnoy_parking;25-juil;36;13;8;0;0;1;0;0;170
Curie;27-juil;37;15;0;0;6;0;0;2;5
Carnoy_serre;27-juil;38;15;4;0;0;2;0;0;55
Carnoy_parking;27-juil;39;15;6;0;0;1;0;0;150
Curie;29-juil;40;17;0;0;8;0;0;2;4
Carnoy_serre;29-juil;41;17;5;3;0;4;0;0;64
Carnoy_parking;29-juil;42;17;9;0;0;1;0;0;140
